iter	Passed	Remaining
0	138	138852
1	142	71256
2	146	48791
3	150	37433
4	153	30645
5	157	26135
6	161	22947
7	165	20564
8	168	18551
9	171	16940
10	173	15580
11	175	14424
12	177	13467
13	179	12615
14	180	11858
15	182	11212
16	183	10636
17	185	10115
18	186	9644
19	187	9209
20	189	8814
21	190	8461
22	191	8140
23	192	7840
24	193	7560
25	194	7302
26	195	7061
27	197	6840
28	198	6629
29	198	6432
30	199	6247
31	200	6074
32	201	5911
33	202	5758
34	203	5614
35	204	5477
36	205	5345
37	206	5221
38	207	5105
39	208	4994
40	209	4889
41	209	4787
42	210	4691
43	211	4602
44	212	4513
45	213	4430
46	214	4350
47	215	4272
48	216	4198
49	217	4128
50	218	4061
51	219	3994
52	220	3932
53	221	3872
54	221	3813
55	222	3757
56	223	3701
57	224	3648
58	225	3598
59	226	3549
60	227	3501
61	228	3455
62	229	3410
63	230	3367
64	231	3325
65	232	3287
66	233	3247
67	234	3207
68	234	3170
69	235	3134
70	236	3098
71	237	3063
72	238	3030
73	239	2996
74	240	2964
75	241	2933
76	242	2902
77	243	2872
78	243	2842
79	244	2814
80	245	2786
81	246	2759
82	246	2728
83	247	2702
84	248	2677
85	249	2653
86	250	2629
87	251	2606
88	252	2583
89	253	2561
90	254	2538
91	255	2516
92	255	2496
93	256	2474
94	257	2454
95	258	2433
96	259	2413
97	260	2393
98	260	2374
99	261	2356
100	262	2338
101	263	2320
102	264	2302
103	265	2285
104	266	2268
105	267	2253
106	268	2237
107	268	2220
108	269	2205
109	270	2190
110	271	2175
111	272	2159
112	273	2145
113	274	2131
114	275	2118
115	276	2104
116	276	2089
117	277	2075
118	278	2063
119	279	2050
120	280	2038
121	281	2025
122	282	2013
123	283	2001
124	284	1988
125	285	1977
126	285	1964
127	286	1953
128	287	1942
129	288	1931
130	289	1919
131	290	1909
132	291	1898
133	292	1887
134	292	1877
135	293	1867
136	294	1856
137	295	1846
138	296	1837
139	297	1827
140	298	1817
141	299	1806
142	300	1797
143	301	1790
144	302	1782
145	303	1774
146	304	1765
147	304	1755
148	305	1746
149	306	1738
150	307	1729
151	308	1721
152	309	1712
153	310	1704
154	311	1696
155	312	1688
156	313	1680
157	313	1673
158	315	1666
159	316	1659
160	316	1650
161	317	1643
162	318	1635
163	319	1628
164	320	1621
165	321	1613
166	322	1607
167	323	1599
168	323	1592
169	324	1586
170	325	1580
171	327	1574
172	327	1567
173	328	1561
174	329	1554
175	330	1548
176	331	1541
177	332	1535
178	333	1528
179	334	1522
180	335	1516
181	336	1510
182	336	1504
183	337	1498
184	338	1492
185	339	1486
186	340	1480
187	341	1475
188	342	1469
189	343	1463
190	344	1457
191	345	1452
192	345	1446
193	346	1440
194	347	1434
195	348	1428
196	349	1422
197	350	1417
198	350	1412
199	351	1406
200	352	1401
201	353	1397
202	354	1391
203	355	1386
204	356	1382
205	357	1376
206	358	1371
207	359	1367
208	359	1362
209	360	1357
210	361	1352
211	362	1347
212	363	1342
213	364	1337
214	365	1332
215	366	1328
216	366	1323
217	367	1319
218	368	1314
219	369	1309
220	370	1306
221	371	1301
222	372	1297
223	373	1292
224	374	1288
225	374	1283
226	375	1279
227	376	1275
228	377	1270
229	378	1266
230	379	1262
231	380	1258
232	381	1254
233	382	1250
234	382	1246
235	383	1242
236	384	1238
237	385	1234
238	386	1230
239	387	1226
240	388	1222
241	389	1219
242	390	1215
243	390	1211
244	391	1207
245	392	1203
246	393	1200
247	394	1196
248	395	1192
249	396	1189
250	397	1185
251	398	1181
252	398	1177
253	399	1174
254	400	1170
255	401	1166
256	402	1163
257	403	1160
258	404	1156
259	405	1153
260	406	1150
261	407	1146
262	407	1143
263	408	1139
264	409	1136
265	410	1132
266	411	1129
267	412	1126
268	413	1123
269	414	1120
270	415	1117
271	416	1113
272	416	1110
273	417	1107
274	418	1103
275	419	1100
276	420	1097
277	421	1094
278	422	1091
279	423	1088
280	424	1085
281	425	1082
282	426	1079
283	426	1076
284	427	1073
285	428	1070
286	429	1067
287	430	1064
288	431	1062
289	432	1059
290	433	1056
291	434	1053
292	435	1050
293	436	1047
294	437	1044
295	437	1041
296	438	1038
297	439	1035
298	440	1033
299	441	1030
300	442	1027
301	443	1025
302	444	1022
303	445	1019
304	446	1017
305	447	1014
306	448	1011
307	449	1009
308	449	1006
309	450	1003
310	451	1000
311	452	997
312	453	994
313	454	992
314	455	990
315	456	987
316	457	985
317	458	982
318	459	980
319	460	977
320	461	975
321	461	972
322	462	970
323	463	967
324	464	965
325	465	962
326	466	960
327	467	957
328	468	954
329	469	952
330	469	949
331	470	947
332	471	944
333	472	942
334	473	939
335	474	937
336	475	934
337	476	932
338	476	929
339	477	927
340	478	925
341	479	922
342	480	920
343	481	917
344	482	915
345	483	913
346	484	910
347	484	908
348	485	906
349	486	903
350	487	901
351	488	898
352	489	896
353	490	894
354	491	892
355	491	889
356	492	887
357	493	885
358	494	883
359	495	881
360	496	878
361	497	876
362	498	874
363	499	872
364	500	870
365	500	867
366	501	865
367	502	863
368	503	861
369	504	859
370	505	857
371	506	854
372	507	852
373	508	850
374	509	848
375	509	846
376	510	843
377	511	841
378	512	839
379	513	837
380	514	835
381	514	833
382	515	830
383	516	828
384	517	826
385	518	824
386	519	822
387	520	820
388	520	818
389	521	816
390	522	814
391	523	812
392	524	810
393	525	808
394	526	806
395	527	804
396	528	802
397	529	800
398	530	798
399	530	796
400	531	794
401	532	792
402	533	790
403	534	788
404	535	786
405	536	784
406	537	782
407	537	780
408	538	778
409	539	776
410	540	774
411	541	772
412	542	770
413	543	768
414	544	767
415	545	765
416	546	763
417	546	761
418	547	759
419	548	758
420	549	756
421	550	754
422	551	752
423	552	750
424	553	748
425	554	747
426	555	745
427	556	743
428	556	741
429	557	739
430	558	737
431	559	735
432	560	734
433	561	732
434	562	730
435	563	728
436	564	726
437	565	724
438	565	723
439	566	721
440	567	719
441	568	717
442	569	716
443	570	714
444	571	712
445	572	711
446	573	709
447	574	707
448	575	705
449	575	703
450	576	702
451	577	700
452	578	698
453	579	697
454	580	695
455	581	693
456	582	691
457	583	690
458	584	688
459	584	686
460	585	684
461	586	683
462	587	681
463	588	679
464	589	678
465	590	676
466	591	674
467	591	672
468	592	671
469	593	669
470	594	667
471	595	666
472	596	664
473	597	662
474	598	661
475	598	659
476	599	657
477	600	655
478	601	654
479	602	652
480	603	651
481	604	649
482	605	647
483	605	646
484	606	644
485	607	642
486	608	641
487	609	639
488	610	637
489	611	636
490	612	634
491	613	633
492	614	631
493	614	629
494	615	628
495	616	626
496	617	625
497	618	623
498	619	621
499	620	620
500	620	618
501	621	616
502	622	615
503	623	613
504	624	612
505	625	610
506	626	609
507	627	607
508	628	606
509	629	604
510	630	603
511	631	601
512	631	599
513	632	598
514	633	596
515	634	595
516	635	593
517	636	592
518	637	590
519	638	589
520	639	587
521	640	586
522	641	584
523	642	583
524	643	581
525	643	580
526	644	578
527	645	577
528	646	575
529	647	574
530	648	572
531	649	571
532	650	569
533	651	568
534	652	566
535	653	565
536	653	563
537	654	562
538	655	560
539	656	559
540	657	557
541	658	556
542	659	554
543	660	553
544	661	551
545	662	550
546	662	549
547	663	547
548	664	546
549	665	544
550	666	543
551	667	541
552	668	540
553	669	539
554	670	538
555	671	536
556	673	535
557	674	533
558	674	532
559	675	530
560	676	529
561	677	528
562	678	526
563	679	525
564	680	523
565	680	522
566	681	520
567	683	519
568	684	518
569	685	516
570	686	515
571	687	514
572	688	512
573	688	511
574	689	509
575	690	508
576	691	506
577	692	505
578	693	504
579	694	502
580	695	501
581	696	500
582	697	498
583	698	497
